ID,R,F,M,cluster,tsne_1,tsne_2
583,27,11,747.42,2,7.165893,-7.9436297
584,14,12,377.47,2,8.12292,-23.402681
585,13,6,141.28,2,-21.249048,-9.8762045
586,8,22,547.14,1,25.108843,-21.271013
587,23,3,344.95,2,-28.474768,-10.126017
588,17,7,999.24,2,-14.264544,12.074461
589,13,12,745.11,2,10.457431,-21.135675
590,28,23,751.19,1,21.034332,-12.040151
591,8,1,954.72,2,-15.347198,22.150398
592,26,3,1066.27,2,-7.084287,3.411313
593,17,2,489.08,2,-20.886345,3.4258795
594,3,15,885.49,1,16.705706,-27.043335
595,39,14,1454.39,1,9.130654,-0.5361703
596,13,8,519.83,2,-16.396461,-9.175613
597,18,21,473.87,1,21.203634,-16.593008
598,10,21,1465.95,1,29.892298,-3.7842915
599,4,6,301.49,2,-32.660137,6.5884376
600,20,16,951.76,1,13.678171,-7.175671
601,16,15,1282.64,1,21.171799,-0.1199066
602,14,6,347.42,2,-19.425993,-9.310174
603,1,5,164.98,2,-34.452,7.044142
604,20,7,99.67,2,-19.452248,-13.560811
605,7,5,1909.29,2,-0.5426537,24.184952
606,1,11,981.2,2,25.762295,16.59768
607,16,14,1473.62,1,22.0263,8.856573
608,18,1,72.31,2,-33.426258,-6.938386
609,20,23,1128.24,1,24.42472,-9.575812
610,2,9,1444.39,2,-0.0758431,29.41868
611,1,1,128.0,2,-40.235477,4.61217
612,59,1,1767.93,0,-3.3561547,-8.0569
613,18,1,531.73,2,-19.74954,3.2574933
614,27,1,85.63,2,-32.42845,-13.669027
615,2,2,698.67,2,-27.765457,14.945742
616,3,3,690.64,2,-27.087427,14.42318
617,29,1,249.85,2,-30.480186,-14.839469
618,9,3,563.28,2,-25.131634,10.265152
619,19,5,1191.27,2,-11.226181,10.613554
620,21,22,1400.81,1,24.514355,-7.512024
621,6,2,1749.21,2,-6.469887,31.834599
622,23,11,471.6,2,5.4848104,-11.014805
623,27,19,1325.11,1,19.513496,-6.760126
624,12,13,778.11,1,11.164507,-21.317867
625,8,6,216.09,2,-31.881632,3.923476
626,84,2,276.26,0,-5.684699,-11.883669
627,19,2,1657.46,2,-2.3999386,13.882985
628,26,2,1483.83,2,-2.8551304,6.9480486
629,21,5,554.38,2,-18.094553,-5.2238154
630,15,13,1457.71,1,22.202137,9.710925
631,7,15,1537.57,1,26.99624,8.357203
632,3,21,627.72,1,25.866692,-23.741299
633,1,3,1920.02,2,-3.9222069,30.78659
634,7,9,739.45,2,-20.457504,15.712643
635,19,23,639.21,1,22.170048,-15.244117
636,2,22,1321.41,1,34.984257,-4.6072874
637,19,14,1214.69,1,14.040042,-5.3270617
638,5,2,1576.96,2,-7.4823627,30.527637
639,2,6,1726.92,2,-2.2910626,27.884176
640,9,2,418.18,2,-26.668652,7.36848
641,93,1,878.92,0,-5.272653,-12.421165
642,24,11,1829.07,1,8.820783,7.5934367
643,9,19,919.33,1,20.334984,-22.893656
644,28,14,950.21,1,11.436322,-8.848833
645,22,3,773.16,2,-13.988671,2.2105503
646,29,1,314.52,2,-29.80026,-14.502763
647,4,2,1708.36,2,-6.2586265,31.104792
648,3,5,129.92,2,-34.2223,6.222595
649,11,2,1427.69,2,-6.5807266,17.95069
650,22,13,1128.25,1,11.649283,-5.1002603
651,29,2,1198.38,2,-4.9380393,4.1052313
652,9,24,880.79,1,26.046003,-18.962833
653,21,2,1152.14,2,-11.286629,6.40811
654,103,6,320.79,0,-5.1563306,-13.128957
655,26,18,568.95,1,15.21599,-12.593118
656,13,15,553.58,1,13.445095,-20.63167
657,10,1,103.32,2,-36.65113,-0.32721078
658,8,5,62.11,2,-32.470734,2.3321943
659,29,14,1572.41,1,13.476869,0.06776732
660,15,4,946.16,2,-15.225863,8.974155
661,16,7,1189.99,2,-12.633139,12.840694
662,17,1,1856.61,2,-1.4705869,15.225424
663,9,9,802.56,2,-19.728916,15.589892
664,7,11,1399.32,1,25.682144,12.870695
665,3,12,853.18,2,14.332258,-26.60014
666,16,18,1346.3,1,21.772522,-1.7968154
667,12,8,1899.43,2,3.5608654,20.027193
668,8,19,1829.73,1,30.444204,1.2896316
669,14,6,1995.32,2,2.1492028,19.264423
670,121,19,1343.96,0,-4.0669084,-13.601822
671,6,24,579.0,1,26.259407,-21.566923
672,9,17,1535.08,1,28.172815,1.3559701
673,10,22,1035.15,1,26.244495,-17.291311
674,5,6,1990.33,2,-1.1187097,25.101215
675,16,12,1998.24,1,21.772568,6.38189
676,26,4,1904.23,2,1.4004138,8.565891
677,20,4,1844.99,2,0.40063572,14.909441
678,16,18,835.03,1,18.739098,-17.132303
679,5,11,1960.2,1,30.22084,10.846413
680,2,4,480.5,2,-31.668346,10.0809965
681,16,5,1041.53,2,-13.740576,10.369637
682,16,7,233.22,2,-19.340822,-11.094332
683,21,16,1906.48,1,18.34063,4.0261407
684,29,11,572.41,2,7.9046893,-10.900217
685,8,18,1634.84,1,29.275242,1.3000882
686,15,2,120.92,2,-33.371407,-4.10431
687,8,2,312.85,2,-36.440147,2.2372544
688,21,1,1097.34,2,-12.117146,5.903193
689,14,7,583.65,2,-16.295345,-8.20174
690,13,7,1361.69,2,-11.694139,14.524645
691,28,21,1168.85,1,20.20657,-8.605796
692,4,3,1840.56,2,-4.607635,31.14203
693,16,5,1254.12,2,-10.845759,12.306265
694,19,24,1088.95,1,24.69113,-10.057369
695,11,2,1940.85,2,-1.3943566,19.52781
696,3,18,1187.4,1,21.326525,-26.541887
697,9,2,1725.07,2,-3.549698,20.457623
698,27,7,1717.7,2,4.744407,7.6861176
699,12,4,1290.95,2,-8.908255,15.100669
700,16,3,1075.38,2,-14.025232,8.149456
701,54,8,1352.2,0,-3.5995955,-9.127278
702,5,13,1553.19,1,27.072912,10.491179
703,24,12,1971.23,1,9.758285,8.068812
704,27,6,226.25,2,-19.039078,-17.506943
705,13,5,1779.41,2,0.756373,18.73575
706,8,11,1934.78,1,29.979837,10.165178
707,30,2,377.73,2,-28.914099,-14.803511
708,7,23,959.73,1,25.958546,-19.514158
709,18,5,406.12,2,-19.362917,-7.094693
710,18,1,807.35,2,-16.607426,4.8484974
711,0,21,814.76,1,24.92622,-24.58906
712,7,3,1199.35,2,-12.397705,24.66619
713,19,1,593.31,2,-18.721163,2.951806
714,12,2,726.51,2,-20.443819,8.117516
715,14,22,980.27,1,25.335672,-16.333458
716,7,19,722.57,1,21.625984,-22.372993
717,15,7,207.07,2,-19.7404,-10.561729
718,8,5,334.09,2,-31.250778,4.519062
719,11,3,1472.33,2,-6.2054653,17.44317
720,14,5,1670.74,2,0.6057595,17.53124
721,58,21,1902.07,0,-1.0439885,-10.921996
722,17,22,1949.76,1,25.612696,-3.7305377
723,3,22,490.72,1,26.455513,-23.04037
724,9,3,145.14,2,-34.494286,1.0013889
725,5,1,90.41,2,-39.50552,2.327662
726,10,4,118.43,2,-33.30567,0.9996073
727,5,2,527.92,2,-29.090862,12.189615
728,23,11,1887.65,1,9.087935,8.279911
729,27,16,1344.29,1,15.1996565,-2.793254
730,24,2,1665.91,2,-1.5819482,8.838328
731,10,19,439.31,1,17.328579,-20.548979
732,4,2,812.47,2,-28.10986,15.840885
733,16,6,1251.32,2,-11.649116,12.749793
734,21,22,1497.22,1,24.550459,-6.829982
735,25,14,1328.08,1,13.315728,-2.5764358
736,7,1,285.05,2,-37.571346,2.339384
737,27,9,270.18,2,-16.51611,-17.370176
738,52,7,649.58,0,-5.648764,-8.723483
739,18,1,73.1,2,-33.176785,-6.8717103
740,23,6,271.1,2,-19.114088,-15.647484
741,28,7,309.92,2,-17.737518,-17.783104
742,27,4,1582.05,2,-0.50418293,6.861295
743,5,17,1661.15,1,31.216295,2.7738686
744,24,6,327.09,2,-18.831985,-16.235876
745,15,6,214.7,2,-20.371883,-10.352696
746,14,4,573.03,2,-22.231068,8.315755
747,15,9,423.98,2,-16.34545,-10.486591
748,22,3,895.91,2,-12.878891,2.9219005
749,28,5,1651.61,2,0.6350595,6.9250655
750,20,2,161.6,2,-31.560137,-8.197912
751,10,2,666.05,2,-24.984388,9.431683
752,12,4,596.93,2,-22.59053,9.343565
753,27,18,1919.11,1,17.210394,2.3071532
754,22,18,1348.37,1,18.519913,-2.8877268
755,11,16,1746.07,1,27.88661,3.4798768
756,6,24,685.08,1,26.294514,-20.987362
757,28,6,1272.97,2,-0.4420175,2.5796082
758,3,19,1527.41,1,32.759693,1.5602225
759,17,5,1968.29,2,1.6357208,17.389317
760,21,24,1269.7,1,25.11966,-8.92585
761,27,14,755.85,1,10.057696,-9.736832
762,6,21,1471.02,1,31.651203,-3.4185476
763,28,26,1167.93,1,23.040152,-10.735791
764,20,1,343.18,2,-30.277573,-8.055462
765,26,11,1051.25,2,7.778695,-5.327964
766,20,18,1190.9,1,19.091074,-3.4708037
767,24,6,564.02,2,-17.243408,-4.307162
768,5,28,1090.56,1,33.36528,-7.8700457
769,8,22,1687.67,1,31.788193,-2.401302
770,17,21,1968.93,1,25.552757,-3.614826
771,28,18,436.54,1,14.9867115,-12.39235
772,28,5,1681.4,2,1.007456,7.197088
773,20,1,28.43,2,-33.21377,-8.159748
774,4,20,837.3,1,24.303522,-24.859295
775,7,17,803.21,1,18.562511,-23.972162
776,4,1,49.7,2,-40.2915,2.9019825
777,1,11,612.05,2,11.776931,-28.00003
778,14,20,1121.53,1,26.18302,-14.910278
779,16,6,173.27,2,-20.485638,-11.08815
780,12,23,954.11,1,25.553526,-17.451616
781,3,26,701.23,1,27.521454,-21.452911
782,25,10,995.61,2,6.2595587,-5.4327364
783,15,4,1576.22,2,-3.2087147,16.7292
784,5,5,1559.12,2,-5.325506,27.103048
785,8,1,161.15,2,-37.870186,0.82996094
786,11,2,225.69,2,-35.114708,-0.67385626
787,2,2,1776.01,2,-5.401465,31.05316
788,24,10,1599.47,1,7.5552106,5.9950175
789,21,3,304.23,2,-28.551023,-9.066076
790,6,15,1856.11,1,29.066807,7.1764007
792,24,10,734.29,2,6.157457,-8.137946
793,53,6,1437.02,0,-3.832932,-8.695653
794,25,8,879.55,2,4.4220643,-4.3887386
795,69,21,677.5,0,-1.7021424,-11.921914
796,8,24,1830.94,1,32.872776,-2.4176092
797,2,6,521.58,2,-31.845804,8.530878
798,18,22,598.34,1,21.71327,-15.970852
799,29,9,245.96,2,-16.462212,-18.159334
800,4,20,1127.64,1,22.191702,-25.417364
801,25,15,1176.69,1,13.6384325,-3.8720376
802,13,23,1312.58,1,29.474924,-6.6897583
803,6,25,547.58,1,26.939133,-21.260256
804,4,4,714.95,2,-26.017107,14.406811
805,1,22,1617.22,1,34.55532,-1.6381656
806,22,8,1893.54,2,6.508619,10.184948
807,27,29,1290.45,1,26.343836,-11.13048
808,23,13,1434.73,1,12.775724,-1.4959805
809,3,5,200.52,2,-33.871082,6.5938206
810,8,17,1042.82,1,19.788961,-24.492828
811,21,7,1542.58,2,3.4224565,12.30888
812,7,1,171.09,2,-38.284863,1.6897248
813,16,1,49.61,2,-33.89044,-5.48796
814,3,3,443.42,2,-31.212313,10.765399
815,15,8,410.27,2,-17.158058,-10.172017
816,18,1,338.22,2,-30.586353,-6.4545035
817,26,9,389.47,2,-15.932064,-16.936626
818,19,9,1627.36,2,5.5257807,13.038182
820,2,15,617.82,1,15.305929,-27.873512
821,27,17,921.0,1,14.16771,-9.90582
822,10,13,602.29,2,11.717505,-22.411634
823,5,7,132.27,2,-33.10582,5.0582485
824,15,19,704.16,1,19.464712,-17.85079
825,26,17,1336.09,1,16.134426,-3.1994886
826,24,9,199.27,2,-16.628363,-15.937895
827,28,9,1438.39,2,5.9418416,4.335736
828,20,26,773.5,1,23.044245,-13.91149
829,20,3,251.94,2,-29.024715,-8.36532
830,15,10,1337.51,2,20.396828,12.37822
831,18,11,301.09,2,-14.781513,-13.204099
832,22,14,714.36,1,9.368577,-8.916471
833,10,2,1513.69,2,-5.9512196,18.712446
834,14,16,393.81,1,14.741895,-20.107397
835,25,10,904.58,2,6.2107034,-6.3025513
836,21,1,358.62,2,-30.252838,-9.110346
837,18,13,1696.64,1,20.088634,7.0987167
838,20,3,465.7,2,-26.81899,-8.448235
839,10,5,631.59,2,-22.669228,11.320541
840,29,15,1283.59,1,14.245484,-2.6006205
841,11,9,1335.59,2,20.22507,14.4242935
842,27,23,990.49,1,21.33451,-10.788703
843,21,17,1256.47,1,18.142424,-3.221616
844,1,19,1728.84,1,33.541916,1.2289594
845,8,4,617.83,2,-24.655611,11.569639
846,10,9,1380.94,2,20.307999,14.617892
847,4,3,1783.68,2,-5.0678706,30.656727
848,4,1,23.24,2,-40.642,2.593083
849,19,9,587.24,2,-14.66579,-10.679545
850,11,13,1574.3,1,24.695238,9.529008
851,19,1,1898.46,2,-1.1706678,14.780939
852,8,1,953.18,2,-15.536679,22.359932
853,23,2,351.39,2,-29.232744,-10.538848
854,6,7,652.8,2,-22.308369,14.819767
855,26,2,1270.24,2,-4.706803,5.0511575
856,19,6,207.82,2,-20.051394,-12.678775
857,23,1,68.31,2,-32.518642,-10.949238
858,20,7,1525.26,2,3.3562694,12.766763
859,13,12,1992.17,1,22.79753,6.424942
860,18,15,1956.9,1,19.775454,5.0665927
861,15,3,1945.2,2,-0.666109,17.601103
862,2,8,1893.18,2,0.15721066,27.257029
863,22,27,1554.73,1,26.962803,-10.111283
864,11,18,1424.69,1,27.508554,-0.7411099
865,5,2,248.11,2,-37.95696,3.8382845
866,1,5,275.93,2,-33.936687,7.6158514
867,9,13,1611.27,1,26.011856,9.639634
868,10,1,93.72,2,-37.061176,-0.5895411
869,18,10,1530.48,1,19.105717,10.192123
870,27,13,1509.41,1,12.873129,-0.3539501
871,9,24,1281.48,1,31.239752,-6.645057
872,26,3,539.2,2,-27.044323,-13.113624
873,29,2,1399.1,2,-3.3528585,5.6904635
874,25,29,1733.38,1,27.529621,-10.793352
875,27,14,653.55,1,9.482993,-10.141892
876,43,2,706.12,0,-6.5410614,-6.6885605
877,24,29,1489.27,1,26.958344,-10.8345995
878,28,21,1956.83,1,18.667057,1.5231581
879,12,14,1795.23,1,25.10517,7.0203705
880,10,22,730.88,1,24.425663,-19.612389
881,7,11,1583.77,1,27.034548,11.800048
882,18,2,169.75,2,-31.97287,-6.922337
883,18,6,1607.65,2,2.620141,13.803636
884,68,3,916.19,0,-4.8486786,-10.452754
885,20,23,681.57,1,21.983608,-14.744605
886,16,12,1528.57,1,21.088305,9.556306
887,5,28,1396.47,1,33.60809,-6.8482747
888,3,3,259.83,2,-37.569298,5.4297056
889,4,6,1804.3,2,-1.8633523,27.152267
890,15,21,1073.82,1,25.740713,-15.313492
891,27,11,884.15,2,7.0017023,-6.5184784
892,16,7,411.65,2,-17.983854,-9.787662
893,20,20,933.47,1,19.504257,-15.173929
894,9,19,1692.98,1,29.822777,0.7984157
895,1,14,1168.04,1,19.402224,-28.549814
896,18,9,289.67,2,-16.483963,-12.596759
897,21,6,1527.15,2,2.5758855,12.390308
898,1,20,1951.03,1,33.970367,0.49015042
899,0,4,1331.32,2,-9.029017,27.333382
900,13,27,719.12,1,27.38042,-18.494383
901,16,6,735.31,2,-15.581001,-6.514932
902,56,4,1869.92,0,-3.101607,-8.202608
903,26,1,150.18,2,-31.366339,-12.891461
904,24,2,157.54,2,-31.456179,-11.670945
905,2,9,1748.72,1,0.2673229,27.974646
906,15,3,890.99,2,-15.89086,8.071795
907,16,11,649.79,2,9.100325,-20.250935
908,23,27,1628.78,1,27.17413,-10.248125
909,21,2,1599.24,2,-2.4576497,10.706142
910,12,23,1550.61,1,30.191412,-4.906037
911,8,1,183.55,2,-37.558582,1.1517545
912,26,5,1230.32,2,-1.7803153,3.1285515
913,9,14,1627.19,1,26.304424,8.779695
914,11,28,1154.7,1,32.677525,-8.2314205
915,17,1,33.58,2,-33.862328,-6.2293186
916,15,9,1959.64,1,4.6800613,19.005451
917,10,22,1581.14,1,30.698414,-3.6258106
918,27,5,1879.82,2,2.0168824,8.166241
919,25,3,1142.4,2,-6.219178,4.0013695
920,15,1,174.64,2,-33.160995,-4.789496
921,5,2,638.81,2,-28.278847,13.408991
922,19,4,1067.78,2,-11.803517,9.198206
923,14,22,1345.92,1,28.614523,-6.4212403
924,6,3,1311.06,2,-10.827464,25.496302
925,26,8,962.62,2,4.3350434,-3.8020315
926,23,1,285.97,2,-30.2497,-10.771095
927,17,17,1651.68,1,23.413784,1.0538777
928,16,3,1503.87,2,-4.1151586,15.923975
929,6,13,1506.48,1,26.59591,10.859476
930,22,24,625.12,1,21.92022,-13.940237
931,28,17,1742.95,1,16.34533,1.7069277
932,17,26,1292.21,1,26.80564,-8.770784
933,16,7,1801.38,2,3.602673,17.742487
934,1,27,1585.1,1,34.15277,-5.7238874
935,17,27,7795.03,1,13.232746,15.147166
936,2,17,2341.93,1,31.868599,5.2876353
937,1,5,1865.78,2,-2.998349,29.191322
938,19,4,1163.08,2,-10.983948,9.841881
939,9,7,1007.06,2,-19.074116,14.265884
940,27,7,1322.94,2,0.56937844,2.4018037
941,30,4,860.41,2,-8.579434,1.6201404
942,22,1,776.7,2,-16.099304,2.4510784
